Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Extract Method,MEA_single,RandomForest,0.4,59,37,0.521,40,64,36,60,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,Accuracy
Extract Method,MEA_single,RandomForest,0.2,78,50,0.408,42,40,60,58,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,False,True,TN
Extract Method,MEA_single,SVM,0.2,78,50,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TP
Inline Method,MEA_single,SVM,0.2,11,117,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,Accuracy
Inline Method,MEA_single,SVM,0.2,11,117,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TN
Inline Method,MEA_single,RandomForest,0.2,11,117,0.483,97,0,100,3,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,False,True,TP
Move Attribute,MEA_single,SVM,0.2,6,122,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,Accuracy
Move Attribute,MEA_single,SVM,0.2,6,122,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,False,True,TN
Move Attribute,MEA_single,RandomForest,0.2,6,122,0.452,90,0,100,10,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,False,True,TP
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,Accuracy
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,TN
Move Class,MEA_single,RandomForest,0.2,14,114,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,False,True,TP
Extract Method,MEA_split,RandomForest,0.2,85,37,0.522,32,73,27,68,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Extract Method,MEA_split,RandomForest,0.5,53,37,0.504,34,67,33,66,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,TN
Extract Method,MEA_split,SVM,0.2,85,37,0.5,0,100,0,100,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TP
Extract Superclass,MEA_split,RandomForest,0.2,6,12,0.562,62,50,50,38,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Extract Superclass,MEA_split,SVM,0.2,6,12,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Extract Superclass,MEA_split,RandomForest,0.2,6,12,0.562,62,50,50,38,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Inline Method,MEA_split,RandomForest,0.5,8,16,0.551,73,38,62,27,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Inline Method,MEA_split,SVM,0.2,12,24,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Inline Method,MEA_split,RandomForest,0.5,8,16,0.551,73,38,62,27,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Move Attribute,MEA_split,RandomForest,0.4,7,14,0.671,94,40,60,6,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",MEA,True,False,Accuracy
Move Attribute,MEA_split,SVM,0.2,9,18,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Move Attribute,MEA_split,RandomForest,0.3,8,16,0.646,79,50,50,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",MEA,True,False,TP
Move Class,MEA_split,RandomForest,0.3,18,36,0.678,69,67,33,31,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,Accuracy
Move Class,MEA_split,SVM,0.2,21,42,0.5,100,0,100,0,"[""{'C': 0.1, 'kernel': 'linear'}""]",MEA,True,False,TN
Move Class,MEA_split,RandomForest,0.3,18,36,0.678,69,67,33,31,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",MEA,True,False,TP
